"Name","P1","P2","Call","OriginalCall","Original_Is"
"EXP_0225",1,0,"P1","P1","Correct"
"EXP_0228",1,0,"P1","P1","Correct"
"EXP_0232",1,0,"P1","P1","Correct"
"EXP_0233",1,0,"P1","P1","Correct"
"EXP_0239",0.07,0.93,"P2","P1","Wrong"
"EXP_0247",1,0,"P1","P1","Correct"
"EXP_0263",1,0,"P1","P1","Correct"
"EXP_0267",1,0,"P1","P1","Correct"
"EXP_0268",1,0,"P1","P1","Correct"
"EXP_0271",1,0,"P1","P1","Correct"
"EXP_0273",0.08,0.92,"P2","P1","Wrong"
"EXP_0277",1,0,"P1","P1","Correct"
"EXP_0281",1,0,"P1","P1","Correct"
"EXP_0284",1,0,"P1","P1","Correct"
"EXP_0288",0.87,0.13,"P1","P1","Correct"
"EXP_0292",1,0,"P1","P1","Correct"
"EXP_0294",0.34,0.66,"INT","P1","Wrong"
"EXP_0296",1,0,"P1","P1","Correct"
"EXP_0298",1,0,"P1","P1","Correct"
"EXP_0301",1,0,"P1","P1","Correct"
"EXP_0306",1,0,"P1","P1","Correct"
"EXP_0315",0,1,"P2","P1","Wrong"
"EXP_0317",1,0,"P1","P1","Correct"
"EXP_0318",1,0,"P1","P1","Correct"
"EXP_0320",1,0,"P1","P1","Correct"
"EXP_0326",0.03,0.97,"P2","P1","Wrong"
"EXP_0328",0.9,0.1,"P1","P1","Correct"
"EXP_0329",1,0,"P1","P1","Correct"
"EXP_0330",0,1,"P2","P1","Wrong"
"EXP_0333",1,0,"P1","P1","Correct"
"EXP_0335",1,0,"P1","P1","Correct"
"EXP_0340",1,0,"P1","P1","Correct"
"EXP_0342",1,0,"P1","P1","Correct"
"EXP_0343",1,0,"P1","P1","Correct"
"EXP_0353",0,1,"P2","P1","Wrong"
"EXP_0354",1,0,"P1","P1","Correct"
"EXP_0356",1,0,"P1","P1","Correct"
"EXP_0360",1,0,"P1","P1","Correct"
"EXP_0365",1,0,"P1","P1","Correct"
"EXP_0376",1,0,"P1","P1","Correct"
"EXP_0377",1,0,"P1","P1","Correct"
"EXP_0380",1,0,"P1","P1","Correct"
"EXP_0381",1,0,"P1","P1","Correct"
"EXP_0384",0.98,0.02,"P1","P1","Correct"
"EXP_0387",1,0,"P1","P1","Correct"
"EXP_0388",1,0,"P1","P1","Correct"
"EXP_0399",1,0,"P1","P1","Correct"
"EXP_0405",1,0,"P1","P1","Correct"
"EXP_0417",1,0,"P1","P1","Correct"
"EXP_0425",1,0,"P1","P1","Correct"
"EXP_0432",1,0,"P1","P1","Correct"
"EXP_0433",1,0,"P1","P1","Correct"
"EXP_0454",1,0,"P1","P1","Correct"
"EXP_0227",0,1,"P2","P2","Correct"
"EXP_0229",0.15,0.85,"P2","P2","Correct"
"EXP_0240",0.17,0.83,"P2","P2","Correct"
"EXP_0244",0.65,0.35,"INT","P2","Wrong"
"EXP_0245",0.01,0.99,"P2","P2","Correct"
"EXP_0249",0.88,0.12,"P1","P2","Wrong"
"EXP_0250",1,0,"P1","P2","Wrong"
"EXP_0253",1,0,"P1","P2","Wrong"
"EXP_0255",0,1,"P2","P2","Correct"
"EXP_0258",0.01,0.99,"P2","P2","Correct"
"EXP_0260",1,0,"P1","P2","Wrong"
"EXP_0266",0,1,"P2","P2","Correct"
"EXP_0269",1,0,"P1","P2","Wrong"
"EXP_0270",0,1,"P2","P2","Correct"
"EXP_0275",0,1,"P2","P2","Correct"
"EXP_0279",1,0,"P1","P2","Wrong"
"EXP_0283",0.06,0.94,"P2","P2","Correct"
"EXP_0285",0.04,0.96,"P2","P2","Correct"
"EXP_0286",0,1,"P2","P2","Correct"
"EXP_0293",1,0,"P1","P2","Wrong"
"EXP_0297",1,0,"P1","P2","Wrong"
"EXP_0299",1,0,"P1","P2","Wrong"
"EXP_0303",1,0,"P1","P2","Wrong"
"EXP_0307",1,0,"P1","P2","Wrong"
"EXP_0313",0.15,0.85,"P2","P2","Correct"
"EXP_0314",1,0,"P1","P2","Wrong"
"EXP_0325",0.98,0.02,"P1","P2","Wrong"
"EXP_0334",1,0,"P1","P2","Wrong"
"EXP_0337",0.84,0.16,"P1","P2","Wrong"
"EXP_0338",0.02,0.98,"P2","P2","Correct"
"EXP_0339",0,1,"P2","P2","Correct"
"EXP_0341",1,0,"P1","P2","Wrong"
"EXP_0346",0.54,0.46,"INT","P2","Wrong"
"EXP_0347",0.1,0.9,"P2","P2","Correct"
"EXP_0349",0,1,"P2","P2","Correct"
"EXP_0350",0,1,"P2","P2","Correct"
"EXP_0355",0.99,0.01,"P1","P2","Wrong"
"EXP_0364",0.06,0.94,"P2","P2","Correct"
"EXP_0372",0.9,0.1,"P1","P2","Wrong"
"EXP_0383",0,1,"P2","P2","Correct"
"EXP_0389",1,0,"P1","P2","Wrong"
"EXP_0397",0,1,"P2","P2","Correct"
"EXP_0401",0,1,"P2","P2","Correct"
"EXP_0406",0,1,"P2","P2","Correct"
"EXP_0409",1,0,"P1","P2","Wrong"
"EXP_0427",1,0,"P1","P2","Wrong"
"EXP_0428",0.2,0.8,"P2","P2","Correct"
"EXP_0430",1,0,"P1","P2","Wrong"
"EXP_0438",1,0,"P1","P2","Wrong"
"EXP_0441",1,0,"P1","P2","Wrong"
"EXP_0446",0.47,0.53,"INT","P2","Wrong"
"EXP_0447",0.3,0.7,"INT","P2","Wrong"
"EXP_0452",0.07,0.93,"P2","P2","Correct"
"EXP_0453",1,0,"P1","P2","Wrong"
